assessmentItemID,testId,text,answer,KnowledgeTag,choice0,choice1,choice2,choice3,grade
0,봄여름가을겨울,봄여름가을겨울 2집의 대표곡으로 2003년에 크래쉬가 리메이크한 곡은?,2,0,내품에 안기어,내가 걷는 길,어떤이의 꿈,사랑해,1
1,김고은,김고은이 출연한 2015년 7월 동명의 인기 웹툰을 원작으로한 드라마의 제목은?,0,0,치즈인더트랩,오렌지 마말레이드,날로 먹는 연애,유미의 세포들,0
2,워너원,"그룹 워너원의 데뷔 앨범 발매 직후, 모든 음원 차트에서 1위를 기록한 타이틀곡은?",0,0,에너제틱,뷰티풀,Burn It Up,11(eleven),0
3,윤미래,윤미래는 업타운의 멤버가 되었을 때 어떤 이름을 사용했는가?,3,0,타이거,타냐,타샤니,타샤,0
4,윤미래,윤미래와 결혼한 사람은?,2,0,Bizzy,김태환,Tiger JK,블랑카,0
5,무한도전,2005년 11월 5일 이후 무한도전의 PD는?,0,0,김태호,나영석,김영희,임형택,0
6,태양의_후예,태양의 후예의 송중기-송혜교 커플을 줄여 부르는 말은?,1,0,태후 커플,송송 커플,소중혜 커플,군인 커플,0
7,송중기,송중기가 전역 후 복귀작으로 촬영한 작품은?,2,0,아스달 연대기,빈센조,태양의 후예,뿌리깊은 나무,0
8,워너원,워너원은 몇인조 보이 그룹인가?,3,0,8인조,9인조,10인조,11인조,1
9,송중기,송중기의 영화 데뷔작은?,3,0,오감도,리오,늑대소년,쌍화점,2
10,마동석,마동석이 대한민국 국적을 버리고 취득한 국적은?,1,0,캐나다,미국,일본,영국,1
11,마동석,"1994년 미국에서 뮤지컬 배우로 데뷔했으며, 보디빌더와 헬스트레이너 활동 경력으로 주목받은 배우는?",0,0,마동석,숀리,헨리,강호동,0
12,마동석,마동석은 현재 스트랭스 코치 누구와 열애 중입니까?,2,0,이하늘,이영아,예정화,전효성,0
13,더콰이엇,2016년 더 콰이엇이 엠넷에서 프로듀서로 활약한 프로그램은?,2,0,고등래퍼,미스터 트롯,Show Me The Money 5,프로듀스 101,0
14,더콰이엇,"더 콰이엇이 김효은,해쉬스완,창모와 함께 설립한 회사는?",3,0,일리네어 레코즈,소울 컴퍼니,Daytona Entertainment,Ambition Music,2
15,더콰이엇,2011년에 더콰이엇과 함께 일리네어 레코즈를 설립한 사람은?,2,0,성문,피타입,도끼,매드클라운,0
16,송중기,송중기가 출연한 적 없는 방송은?,1,0,강심장,냉장고를 부탁해,스타골든벨,연예가중계,1
17,천우희,천우희는 어느나라 배우인가?,3,0,미국,일본,독일,대한민국,0
18,소녀시대,드라마 쾌도 홍길동에서 부른 태연의 솔로곡은?,0,0,만약에,Rain,내게 들려주고 싶은 말,광야,0
